Category,Course Title,Course Code,R1 Points,Course Level,HE Institution,AQA,Year,Points
Business and administration,Digital Marketing,TU782,AQA,7,Technological University Dublin,True,2025,0
Business and administration,Business (General Entry),TU787,AQA,7,Technological University Dublin,True,2025,0
Business and administration,Accounting and Finance,TU788,204,7,Technological University Dublin,False,2025,204
Welfare,Early Childhood Education and Care,TU790,AQA,7,Technological University Dublin,True,2025,0
Welfare,Applied Social Studies in Social Care,TU791,281,7,Technological University Dublin,False,2025,281
Social and behavioural sciences,Community and Youth Development,TU792,AQA,7,Technological University Dublin,True,2025,0
Arts,Visual Merchandising and Display (portfolio),TU795,654,7,Technological University Dublin,False,2025,654
Arts,Creative Digital Media,TU796,240,7,Technological University Dublin,False,2025,240
Engineering and engineering trades,Sustainable Energy Engineering,TU801,243,8,Technological University Dublin,False,2025,243
Engineering and engineering trades,Electrical Services and Energy Management,TU802,261,8,Technological University Dublin,False,2025,261
Engineering and engineering trades,Engineering (General Entry),TU804,340,8,Technological University Dublin,False,2025,340
Engineering and engineering trades,Engineering (General Entry),TU805,490,8,Technological University Dublin,False,2025,490
Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,262,8,Technological University Dublin,False,2025,262
Engineering and engineering trades,Mechatronic Engineering,TU810,301,8,Technological University Dublin,False,2025,301
Arts,Product Design,TU811,412,8,Technological University Dublin,False,2025,412
Engineering and engineering trades,Mechanical Engineering (General Entry),TU828,358,8,Technological University Dublin,False,2025,358
Engineering and engineering trades,Electronic Engineering and Engineering Software (General Entry),TU829,252,8,Technological University Dublin,False,2025,252
Architecture and construction,Architectural Technology,TU831,425,8,Technological University Dublin,False,2025,425
Architecture and construction,"Architecture (portfolio,interview)",TU832,635,8,Technological University Dublin,False,2025,635
Architecture and construction,Construction Management,TU833,430,8,Technological University Dublin,False,2025,430
Architecture and construction,Planning and Environmental Management,TU835,360,8,Technological University Dublin,False,2025,360
Architecture and construction,Property Economics (Valuation Surveying),TU836,425,8,Technological University Dublin,False,2025,425
Architecture and construction,Quantity Surveying and Construction Economics,TU837,451,8,Technological University Dublin,False,2025,451
Information and Communication Technologies (ICTs),Data Science and Artificial Intelligence,TU850,434,8,Technological University Dublin,False,2025,434
Physical sciences,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,311,8,Technological University Dublin,False,2025,311
Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,422,8,Technological University Dublin,False,2025,422
Biological and related sciences,Science (General Entry),TU854,445,8,Technological University Dublin,False,2025,445
Physical sciences,Science with Nanotechnology,TU855,336,8,Technological University Dublin,False,2025,336
Information and Communication Technologies (ICTs),Computer Science,TU856,443,8,Technological University Dublin,False,2025,443
Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,351,8,Technological University Dublin,False,2025,351
Information and Communication Technologies (ICTs),Computer Science (International),TU858,351,8,Technological University Dublin,False,2025,351
Information and Communication Technologies (ICTs),Computing (General Entry),TU859,214,8,Technological University Dublin,False,2025,214
Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,280,8,Technological University Dublin,False,2025,280
Information and Communication Technologies (ICTs),Computing with Machine Learning and Artificial Intelligence,TU862,245,8,Technological University Dublin,False,2025,245
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,300,8,Technological University Dublin,False,2025,300
Biological and related sciences,DNA and Forensic Analysis,TU864,412,8,Technological University Dublin,False,2025,412
Information and Communication Technologies (ICTs),Cloud Computing,TU865,261,8,Technological University Dublin,False,2025,261
Mathematics and statistics,Biomedical and Molecular Diagnostics,TU866,489,8,Technological University Dublin,False,2025,489
Health,Medical Science,TU867,522,8,Technological University Dublin,False,2025,522
Health,Clinical Measurement Science,TU868,500,8,Technological University Dublin,False,2025,500
Hygiene and occupational health services,Environmental Health,TU869,320,8,Technological University Dublin,False,2025,320
Health,Human Nutrition and Dietetics,TU870,533,8,Technological University Dublin,False,2025,533
Health,Optometry,TU871,564,8,Technological University Dublin,False,2025,564
Biological and related sciences,Public Health Nutrition,TU872,418,8,Technological University Dublin,False,2025,418
Mathematics and statistics,Mathematics and Statistics,TU874,311,8,Technological University Dublin,False,2025,311
Health,Pharmaceutical Healthcare,TU875,388,8,Technological University Dublin,False,2025,388
Biological and related sciences,Pharmaceutical Science,TU876,371,8,Technological University Dublin,False,2025,371
Physical sciences,Physics Technology,TU877,340,8,Technological University Dublin,False,2025,340
Information and Communication Technologies (ICTs),Physics with Energy and Environment,TU878,430,8,Technological University Dublin,False,2025,430
Health,Physics with Medical Physics and Bioengineering,TU879,329,8,Technological University Dublin,False,2025,329
Physical sciences,Physics with Data Science,TU880,362,8,Technological University Dublin,False,2025,362
Arts,Food Science,TU881,346,8,Technological University Dublin,False,2025,346
Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,309,8,Technological University Dublin,False,2025,309
Biological and related sciences,Biotechnology,TU889,456,8,Technological University Dublin,False,2025,456
Business and administration,Business (General Entry),TU902,218,8,Technological University Dublin,False,2025,218
Business and administration,Business and Management,TU903,455,8,Technological University Dublin,False,2025,455
Business and administration,Business and Law,TU904,455,8,Technological University Dublin,False,2025,455
Social and behavioural sciences,Economics and Finance,TU905,436,8,Technological University Dublin,False,2025,436
Business and administration,Human Resource Management,TU906,340,8,Technological University Dublin,False,2025,340
Business and administration,Logistics and Supply Chain Management,TU907,260,8,Technological University Dublin,False,2025,260
Business and administration,Accounting,TU910,380,8,Technological University Dublin,False,2025,380
Information and Communication Technologies (ICTs),Business Analytics,TU912,338,8,Technological University Dublin,False,2025,338
Information and Communication Technologies (ICTs),Business Computing,TU914,306,8,Technological University Dublin,False,2025,306
Law,Law (LL.B.) with a Language,TU917,357,8,Technological University Dublin,False,2025,357
Law,Law (LL.B.),TU918,420,8,Technological University Dublin,False,2025,420
Business and administration,Advertising and Marketing Communications,TU919,218,8,Technological University Dublin,False,2025,218
Business and administration,Digital Marketing,TU920,273,8,Technological University Dublin,False,2025,273
Business and administration,Digital Marketing Technologies,TU921,218,8,Technological University Dublin,False,2025,218
Business and administration,Marketing,TU922,380,8,Technological University Dublin,False,2025,380
Business and administration,E-Commerce in Retailing,TU924,251,8,Technological University Dublin,False,2025,251
Business and administration,Fashion and Retail Business,TU925,307,8,Technological University Dublin,False,2025,307
Business and administration,Business (General Entry),TU932,209,8,Technological University Dublin,False,2025,209
Business and administration,Accounting and Finance,TU933,261,8,Technological University Dublin,False,2025,261
Personal services,Sports Management and Coaching,TU935,301,8,Technological University Dublin,False,2025,301
Biological and related sciences,Sports Science and Health,TU936,465,8,Technological University Dublin,False,2025,465
Personal services,Culinary Arts,TU942,211,8,Technological University Dublin,False,2025,211
Personal services,International Hospitality and Tourism Management,TU951,246,8,Technological University Dublin,False,2025,246
Personal services,International Hospitality Management,TU952,255,8,Technological University Dublin,False,2025,255
Personal services,Tourism and Digital Marketing,TU953,246,8,Technological University Dublin,False,2025,246
Personal services,Event Management,TU954,300,8,Technological University Dublin,False,2025,300
Personal services,Sports and Leisure Management,TU955,301,8,Technological University Dublin,False,2025,301
Arts,Commercial Modern Music (BIMM - audition),TU961,585,8,Technological University Dublin,False,2025,585
Arts,Drama (Performance - audition),TU962,449,8,Technological University Dublin,False,2025,449
Languages,International Business and Languages,TU965,290,8,Technological University Dublin,False,2025,290
Arts,Design - Visual Communication (portfolio),TU973,654,8,Technological University Dublin,False,2025,654
Arts,Fine Art (portfolio),TU974,701,8,Technological University Dublin,False,2025,701
Arts,Interior Design (portfolio),TU975,862,8,Technological University Dublin,False,2025,862
Arts,Photography,TU976,301,8,Technological University Dublin,False,2025,301
Arts,Creative Industries and Visual Culture,TU978,273,8,Technological University Dublin,False,2025,273
Arts,Creative Digital Media,TU981,280,8,Technological University Dublin,False,2025,280
Arts,Media Production and Digital Arts,TU982,283,8,Technological University Dublin,False,2025,283
Arts,Film and Broadcasting,TU983,430,8,Technological University Dublin,False,2025,430
Information and Communication Technologies (ICTs),Game Design,TU984,402,8,Technological University Dublin,False,2025,402
Journalism and information,Journalism,TU985,328,8,Technological University Dublin,False,2025,328
Welfare,Early Childhood Education and Care (Campus Options),TU989,262,8,Technological University Dublin,False,2025,262
Welfare,Applied Social Studies in Social Care,TU991,300,8,Technological University Dublin,False,2025,300
Social and behavioural sciences,Community Development and Youth Work,TU992,244,8,Technological University Dublin,False,2025,244
Education,Early Childhood Education,TU995,307,8,Technological University Dublin,False,2025,307
Welfare,Social Care,TU996,350,8,Technological University Dublin,False,2025,350
Welfare,Applied Social Care,TU997,280,8,Technological University Dublin,False,2025,280
Business and administration,Accounting and Finance,US610,229,6,Technological University of the Shannon,False,2025,229
Business and administration,Business Studies (Marketing and Management),US612,216,6,Technological University of the Shannon,False,2025,216
Personal services,Culinary Arts,US630,147,6,Technological University of the Shannon,False,2025,147
Personal services,Culinary Arts,US631,201,6,Technological University of the Shannon,False,2025,201
Personal services,Sports Development and Coaching,US640,161,6,Technological University of the Shannon,False,2025,161
Engineering and engineering trades,Agricultural Mechanisation (in Year 1 students - four days at Pallaskenry Ag College and one day at TUS Limerick),US651,257,6,Technological University of the Shannon,False,2025,257
Health,Pharmacy Technician,US660,226,6,Technological University of the Shannon,False,2025,226
Health,Dental Nursing,US661,289,6,Technological University of the Shannon,False,2025,289
Arts,Graphic Design (portfolio),US700,830,7,Technological University of the Shannon,False,2025,830
Arts,Creative Broadcast and Film Production,US702,241,7,Technological University of the Shannon,False,2025,241
Arts,Music Production and Technology,US703,246,7,Technological University of the Shannon,False,2025,246
Arts,Music and Sound Engineering,US704,206,7,Technological University of the Shannon,False,2025,206
Information and Communication Technologies (ICTs),Computing  - Mobile and Web,US710,200,7,Technological University of the Shannon,False,2025,200
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,US711,279,7,Technological University of the Shannon,False,2025,279
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,US712,250,7,Technological University of the Shannon,False,2025,250
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,US713,244,7,Technological University of the Shannon,False,2025,244
Information and Communication Technologies (ICTs),Computer Engineering,US714,207,7,Technological University of the Shannon,False,2025,207
Information and Communication Technologies (ICTs),Software Design with Digitalisation,US715,252,7,Technological University of the Shannon,False,2025,252
Business and administration,Business,US720,171,7,Technological University of the Shannon,False,2025,171
Business and administration,Business,US721,196,7,Technological University of the Shannon,False,2025,196
Business and administration,Enterprise and Innovation,US723,192,7,Technological University of the Shannon,False,2025,192
Business and administration,Digital Marketing,US724,190,7,Technological University of the Shannon,False,2025,190
Biological and related sciences,Applied Biology,US730,288,7,Technological University of the Shannon,False,2025,288
Biological and related sciences,Biotechnology,US731,225,7,Technological University of the Shannon,False,2025,225
Physical sciences,Forensic and Pharmaceutical Sciences,US732,309,7,Technological University of the Shannon,False,2025,309
Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),US733,223,7,Technological University of the Shannon,False,2025,223
Health,Medical Technology,US735,317,7,Technological University of the Shannon,False,2025,317
Veterinary,Veterinary Nursing,US738,430,7,Technological University of the Shannon,False,2025,430
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science and Sustainability,US740,225,7,Technological University of the Shannon,False,2025,225
Engineering and engineering trades,Electrical Engineering,US750,250,7,Technological University of the Shannon,False,2025,250
Engineering and engineering trades,Electronic Engineering with Computer Systems,US751,217,7,Technological University of the Shannon,False,2025,217
Engineering and engineering trades,Renewable and Electrical Energy Engineering,US752,270,7,Technological University of the Shannon,False,2025,270
Engineering and engineering trades,Robotics and Automation Engineering,US753,215,7,Technological University of the Shannon,False,2025,215
Architecture and construction,Civil Engineering,US760,206,7,Technological University of the Shannon,False,2025,206
Architecture and construction,Civil Engineering,US761,242,7,Technological University of the Shannon,False,2025,242
Engineering and engineering trades,Agricultural Engineering,US769,311,7,Technological University of the Shannon,False,2025,311
Engineering and engineering trades,Mechanical Engineering,US771,301,7,Technological University of the Shannon,False,2025,301
Engineering and engineering trades,Engineering (Common Entry),US773,223,7,Technological University of the Shannon,False,2025,223
Arts,Animation and Illustration (portfolio),US778,623,7,Technological University of the Shannon,False,2025,623
Information and Communication Technologies (ICTs),Engineering Technology Management,US779,246,7,Technological University of the Shannon,False,2025,246
Welfare,Early Childhood Education and Care,US780,243,7,Technological University of the Shannon,False,2025,243
Welfare,Social Care Work,US781,206,7,Technological University of the Shannon,False,2025,206
Welfare,Applied Social Studies in Social Care,US782,180,7,Technological University of the Shannon,False,2025,180
Welfare,Early Childhood Education and Care,US783,205,7,Technological University of the Shannon,False,2025,205
Personal services,Applied Sports Science with Sport and Exercise Nutrition,US784,206,7,Technological University of the Shannon,False,2025,206
Personal services,Sports Development and Performance,US785,207,7,Technological University of the Shannon,False,2025,207
Personal services,Applied Sport Science Strength and Conditioning,US786,235,7,Technological University of the Shannon,False,2025,235
Business and administration,Business Studies with Sports Management,US787,207,7,Technological University of the Shannon,False,2025,207
Personal services,Exercise and Health Science,US788,208,7,Technological University of the Shannon,False,2025,208
Biological and related sciences,Applied Sport Science with Performance Technology,US789,231,7,Technological University of the Shannon,False,2025,231
Business and administration,Business Studies with Event Management,US791,188,7,Technological University of the Shannon,False,2025,188
Personal services,Business Studies with Beauty and Spa Management,US792,171,7,Technological University of the Shannon,False,2025,171
Business and administration,Business Studies with Event Mangement,US793,241,7,Technological University of the Shannon,False,2025,241
Personal services,Culinary Arts,US795,205,7,Technological University of the Shannon,False,2025,205
Arts,Art and Design (Common Entry - portfolio),US800,837,8,Technological University of the Shannon,False,2025,837
Education,B Ed Art and Design (Offered jointly by TUS and UL - portfolio),US801,949,8,Technological University of the Shannon,False,2025,949
Arts,Animation and Illustration (portfolio),US802,733,8,Technological University of the Shannon,False,2025,733
Arts,Graphic and Digital Design (portfolio),US803,839,8,Technological University of the Shannon,False,2025,839
Arts,Digital Animation (portfolio),US805,789,8,Technological University of the Shannon,False,2025,789
Arts,Game Art and Design (portfolio),US806,844,8,Technological University of the Shannon,False,2025,844
Arts,Creative Broadcast and Film Production,US807,307,8,Technological University of the Shannon,False,2025,307
Arts,Music Production and Technology,US808,288,8,Technological University of the Shannon,False,2025,288
Arts,Music and Sound Engineering,US809,297,8,Technological University of the Shannon,False,2025,297
Arts,"Visual Effects for Film, TV and Animation (portfolio)",US810,920,8,Technological University of the Shannon,False,2025,920
Arts,Interior Design (portfolio),US811,846,8,Technological University of the Shannon,False,2025,846
Manufacturing and processing,Design Engineering,US812,319,8,Technological University of the Shannon,False,2025,319
Information and Communication Technologies (ICTs),Software Development with Cyber Security,US819,234,8,Technological University of the Shannon,False,2025,234
Information and Communication Technologies (ICTs),Software Development,US820,252,8,Technological University of the Shannon,False,2025,252
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,US821,280,8,Technological University of the Shannon,False,2025,280
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,US822,342,8,Technological University of the Shannon,False,2025,342
Information and Communication Technologies (ICTs),Software Design with Digitalisation,US823,299,8,Technological University of the Shannon,False,2025,299
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,US824,315,8,Technological University of the Shannon,False,2025,315
Information and Communication Technologies (ICTs),Immersive Digital Media,US825,291,8,Technological University of the Shannon,False,2025,291
Information and Communication Technologies (ICTs),Computing - Mobile and  Web,US826,280,8,Technological University of the Shannon,False,2025,280
Information and Communication Technologies (ICTs),Computer Networks and Cyber Security,US827,244,8,Technological University of the Shannon,False,2025,244
Information and Communication Technologies (ICTs),Software Development with Games Programming,US828,230,8,Technological University of the Shannon,False,2025,230
Business and administration,Business Studies (AI for Enterprise),US836,347,8,Technological University of the Shannon,False,2025,347
Law,Law,US837,328,8,Technological University of the Shannon,False,2025,328
Business and administration,Business and Law,US838,295,8,Technological University of the Shannon,False,2025,295
Business and administration,Business,US840,278,8,Technological University of the Shannon,False,2025,278
Business and administration,Business,US841,316,8,Technological University of the Shannon,False,2025,316
Business and administration,Business,US842,253,8,Technological University of the Shannon,False,2025,253
Business and administration,Business Studies (Digital Marketing),US843,279,8,Technological University of the Shannon,False,2025,279
Business and administration,Digital Marketing,US844,270,8,Technological University of the Shannon,False,2025,270
Business and administration,Accounting and Finance,US845,357,8,Technological University of the Shannon,False,2025,357
Business and administration,Accounting with Finance,US846,358,8,Technological University of the Shannon,False,2025,358
Business and administration,Accounting with Finance (with Placement),US847,318,8,Technological University of the Shannon,False,2025,318
Law,Business and Law,US848,270,8,Technological University of the Shannon,False,2025,270
Law,Law,US850,327,8,Technological University of the Shannon,False,2025,327
Business and administration,Business Studies (Marketing and Management),US851,244,8,Technological University of the Shannon,False,2025,244
Business and administration,Business Studies (Enterprise and Innovation),US852,244,8,Technological University of the Shannon,False,2025,244
Business and administration,International Business,US853,279,8,Technological University of the Shannon,False,2025,279
Business and administration,International Business Studies,US854,243,8,Technological University of the Shannon,False,2025,243
Biological and related sciences,Biotechnology with Biopharmaceutical Science,US860,408,8,Technological University of the Shannon,False,2025,408
Biological and related sciences,Biotechnology,US861,336,8,Technological University of the Shannon,False,2025,336
Biological and related sciences,Microbiology,US862,320,8,Technological University of the Shannon,False,2025,320
Physical sciences,Forensic and Pharmaceutical Sciences,US863,429,8,Technological University of the Shannon,False,2025,429
Biological and related sciences,Drug and Medicinal Product Analysis,US864,306,8,Technological University of the Shannon,False,2025,306
Biological and related sciences,Pharmacology,US865,252,8,Technological University of the Shannon,False,2025,252
Physical sciences,Pharmaceutical Sciences,US866,300,8,Technological University of the Shannon,False,2025,300
Biological and related sciences,Bioveterinary Science,US867,290,8,Technological University of the Shannon,False,2025,290
Health,Medical Technology,US869,381,8,Technological University of the Shannon,False,2025,381
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science and Sustainability,US870,300,8,Technological University of the Shannon,False,2025,300
Health,General Nursing,US877,389,8,Technological University of the Shannon,False,2025,389
Health,Mental Health Nursing,US878,327,8,Technological University of the Shannon,False,2025,327
Architecture and construction,Quantity Surveying,US880,288,8,Technological University of the Shannon,False,2025,288
Architecture and construction,Quantity Surveying,US881,327,8,Technological University of the Shannon,False,2025,327
Architecture and construction,Property Valuation and Management,US882,270,8,Technological University of the Shannon,False,2025,270
Architecture and construction,Built Environment (Common Entry),US883,315,8,Technological University of the Shannon,False,2025,315
Architecture and construction,Construction Management,US884,243,8,Technological University of the Shannon,False,2025,243
Architecture and construction,Construction Management,US885,270,8,Technological University of the Shannon,False,2025,270
Architecture and construction,Civil Engineering Management,US886,327,8,Technological University of the Shannon,False,2025,327
Architecture and construction,Civil Engineering,US887,410,8,Technological University of the Shannon,False,2025,410
Architecture and construction,Built Environment (Common Entry),US888,313,8,Technological University of the Shannon,False,2025,313
Engineering and engineering trades,Electrical Engineering,US900,348,8,Technological University of the Shannon,False,2025,348
Engineering and engineering trades,Renewable and Electrical Energy Engineering,US901,336,8,Technological University of the Shannon,False,2025,336
Engineering and engineering trades,Robotics and Automation Engineering,US902,301,8,Technological University of the Shannon,False,2025,301
Engineering and engineering trades,Electronic Engineering with Computer Systems,US903,279,8,Technological University of the Shannon,False,2025,279
Information and Communication Technologies (ICTs),Engineering Technology Management,US909,329,8,Technological University of the Shannon,False,2025,329
Engineering and engineering trades,Mechanical Engineering,US910,278,8,Technological University of the Shannon,False,2025,278
Engineering and engineering trades,Mechanical Engineering,US911,337,8,Technological University of the Shannon,False,2025,337
Engineering and engineering trades,Mechanical Engineering with Energy,US912,308,8,Technological University of the Shannon,False,2025,308
Manufacturing and processing,Polymer and Mechanical  Engineering,US913,302,8,Technological University of the Shannon,False,2025,302
Engineering and engineering trades,Precision Engineering,US914,245,8,Technological University of the Shannon,False,2025,245
Engineering and engineering trades,Automotive Engineering and Transport Management,US915,255,8,Technological University of the Shannon,False,2025,255
Engineering and engineering trades,Automation and Robotics,US916,251,8,Technological University of the Shannon,False,2025,251
Information and Communication Technologies (ICTs),Computer Engineering,US917,260,8,Technological University of the Shannon,False,2025,260
Information and Communication Technologies (ICTs),International Software Design (with International Placement),US918,252,8,Technological University of the Shannon,False,2025,252
Welfare,Social Care Work,US920,327,8,Technological University of the Shannon,False,2025,327
Welfare,Social Care Practice,US921,260,8,Technological University of the Shannon,False,2025,260
Welfare,Social Care Work,US922,264,8,Technological University of the Shannon,False,2025,264
Welfare,Social Care Work,US923,236,8,Technological University of the Shannon,False,2025,236
Social and behavioural sciences,Applied Psychology,US924,424,8,Technological University of the Shannon,False,2025,424
Social and behavioural sciences,Applied Psychology,US925,420,8,Technological University of the Shannon,False,2025,420
Welfare,Early Childhood Education and Care,US926,251,8,Technological University of the Shannon,False,2025,251
Welfare,Early Childhood Education and Care,US927,270,8,Technological University of the Shannon,False,2025,270
Social and behavioural sciences,Community and Addiction Studies,US928,264,8,Technological University of the Shannon,False,2025,264
Personal services,Culinary Entrepreneurship,US931,254,8,Technological University of the Shannon,False,2025,254
Personal services,Hospitality Management (with International Placement),US932,241,8,Technological University of the Shannon,False,2025,241
Personal services,Physical Education Studies,US933,350,8,Technological University of the Shannon,False,2025,350
Personal services,Physical Education with Business,US934,366,8,Technological University of the Shannon,False,2025,366
Personal services,Business Studies with Event Management,US941,243,8,Technological University of the Shannon,False,2025,243
Business and administration,Business Studies with Event Management,US942,297,8,Technological University of the Shannon,False,2025,297
Personal services,Business Studies with Beauty and Spa Management,US946,269,8,Technological University of the Shannon,False,2025,269
Health,Nutrition and Health Science,US950,336,8,Technological University of the Shannon,False,2025,336
Health,Sports Science with Exercise Physiology,US951,420,8,Technological University of the Shannon,False,2025,420
Personal services,Sports Management (with International Placement),US952,234,8,Technological University of the Shannon,False,2025,234
Business and administration,Business Studies with Sports Management,US953,253,8,Technological University of the Shannon,False,2025,253
Personal services,Sports Development and Performance,US954,279,8,Technological University of the Shannon,False,2025,279
Health,Athletic and Rehabilitation Therapy,US956,488,8,Technological University of the Shannon,False,2025,488
Health,Physical Activity and Health Science,US957,273,8,Technological University of the Shannon,False,2025,273
Biological and related sciences,Applied Sports Science with Strength and Conditioning,US958,254,8,Technological University of the Shannon,False,2025,254
Biological and related sciences,Applied Sports Science with Performance Technology,US959,246,8,Technological University of the Shannon,False,2025,246
Personal services,Applied Sports Science with Sport and Exercise Nutrition,US961,236,8,Technological University of the Shannon,False,2025,236
