Course Code,Course Title,HE Institution,Course Level,Category,2021,2022,2023,2024,2025,2026
AU222,Sport and Exercise,Atlantic Technological University,7,Personal services,,,220.0,243.0,224.0,261.0
AU234,Design - common entry,Atlantic Technological University,7,Arts,,,,,227.0,237.0
AU240,Quantity Surveying,Atlantic Technological University,7,Architecture and construction,,,242.0,226.0,260.0,252.0
AU241,Civil Engineering,Atlantic Technological University,7,Architecture and construction,,,242.0,280.0,298.0,290.0
AU242,Construction - Common Entry,Atlantic Technological University,7,Architecture and construction,,,266.0,235.0,251.0,204.0
AU243,Building Engineering - Common Entry,Atlantic Technological University,7,Architecture and construction,,,246.0,264.0,208.0,263.0
AU251,Mechanical Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,245.0,257.0,271.0,280.0
AU260,Computer Games Development,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,241.0,268.0,268.0,245.0
AU261,Computing,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,178.0,206.0,243.0,168.0
AU262,Cybersecurity and Digital Forensics,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,250.0,261.0,242.0,244.0
AU270,Science - Common Entry,Atlantic Technological University,7,Biological and related sciences,,,180.0,225.0,208.0,220.0
AU271,Veterinary Nursing,Atlantic Technological University,7,Veterinary,,,388.0,380.0,409.0,370.0
AU272,Agriculture,Atlantic Technological University,7,Agriculture,,,225.0,251.0,251.0,260.0
AU300,Business - Accounting,Atlantic Technological University,8,Business and administration,,,316.0,332.0,326.0,307.0
AU301,Business,Atlantic Technological University,8,Business and administration,,,282.0,287.0,287.0,287.0
AU302,Marketing with Online Technologies,Atlantic Technological University,8,Business and administration,,,302.0,307.0,300.0,280.0
AU310,LLB (Law),Atlantic Technological University,8,Law,,,330.0,327.0,326.0,301.0
AU311,Corporate Law,Atlantic Technological University,8,Law,,,,319.0,301.0,307.0
AU312,Communications with English,Atlantic Technological University,8,Arts,,,303.0,307.0,316.0,308.0
AU320,Sports and Exercise - Common Entry,Atlantic Technological University,8,Personal services,,,310.0,317.0,300.0,310.0
AU321,Athletic Therapy and Exercise Rehabilitation,Atlantic Technological University,8,Personal services,,,361.0,357.0,365.0,388.0
AU322,Hospitality Management,Atlantic Technological University,8,Personal services,,,261.0,291.0,296.0,307.0
AU331,Animation,Atlantic Technological University,8,Arts,,,,,301.0,302.0
AU332,Film and Media Production,Atlantic Technological University,8,Arts,,,,,302.0,301.0
AU333,Graphic Design and Illustration,Atlantic Technological University,8,Arts,,,,,309.0,367.0
AU334,Fashion Design with Promotion,Atlantic Technological University,8,Arts,,,,,346.0,308.0
AU340,Fire Safety Engineering,Atlantic Technological University,8,Architecture and construction,,,300.0,310.0,301.0,307.0
AU341,Quantity Surveying,Atlantic Technological University,8,Architecture and construction,,,322.0,341.0,347.0,352.0
AU342,Construction Management,Atlantic Technological University,8,Architecture and construction,,,300.0,300.0,327.0,300.0
AU343,Architectural Technology,Atlantic Technological University,8,Architecture and construction,,,327.0,326.0,330.0,333.0
AU350,Mechanical Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,321.0,360.0,384.0,352.0
AU351,Electronic Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,309.0,342.0,307.0,312.0
AU354,Electric Vehicle Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,,,320.0,
AU360,Applied Computing,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,307.0,308.0,353.0,316.0
AU361,Computer Science,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,308.0,327.0,307.0,309.0
AU362,Cyberpsychology,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,310.0,320.0,300.0,347.0
AU363,Computing in Data Science and Artificial Intelligence,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,296.0,345.0,371.0,318.0
AU370,Food Science and Nutrition,Atlantic Technological University,8,Biological and related sciences,,,301.0,308.0,310.0,319.0
AU371,Agriculture - Common Entry,Atlantic Technological University,8,Agriculture,,,317.0,316.0,312.0,320.0
AU372,Bioanalytical Science,Atlantic Technological University,8,Biological and related sciences,,,319.0,369.0,348.0,341.0
AU373,Pharmaceutical and Medicinal Science,Atlantic Technological University,8,Biological and related sciences,,,322.0,346.0,319.0,317.0
AU374,Physiotherapy,Atlantic Technological University,8,Health,,,,,,532.0
AU380,General Nursing,Atlantic Technological University,8,Health,,,350.0,343.0,340.0,372.0
AU381,Mental Health Nursing,Atlantic Technological University,8,Health,,,260.0,272.0,270.0,278.0
AU382,Intellectual Disability Nursing,Atlantic Technological University,8,Health,,,242.0,271.0,288.0,272.0
AU390,"Early Childhood Care, Health and Education",Atlantic Technological University,8,Welfare,,,302.0,300.0,301.0,302.0
AU391,Health and Social Care,Atlantic Technological University,8,Welfare,,,307.0,308.0,306.0,300.0
AU401,Business,Atlantic Technological University,6,Business and administration,,,161.0,162.0,170.0,179.0
AU425,Heritage,Atlantic Technological University,6,Social and behavioural sciences,,,181.0,250.0,204.0,224.0
AU426,Business in Tourism,Atlantic Technological University,6,Personal services,,,259.0,214.0,196.0,
AU429,Culinary Arts Professional Chef Programme,Atlantic Technological University,6,Personal services,,,190.0,216.0,188.0,182.0
AU491,Early Childhood Education and Care,Atlantic Technological University,6,Education,,,182.0,187.0,163.0,185.0
AU501,Business,Atlantic Technological University,7,Business and administration,,,222.0,224.0,233.0,225.0
AU502,Business Information Systems,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,238.0,253.0,232.0,225.0
AU503,Marketing and Sales,Atlantic Technological University,7,Business and administration,,,251.0,251.0,238.0,220.0
AU506,Agri-Business Management,Atlantic Technological University,7,Agriculture,,,243.0,,,231.0
AU518,Art (portfolio),Atlantic Technological University,7,Arts,,,552.0,513.0,679.0,423.0
AU519,Design - Common Entry,Atlantic Technological University,7,Arts,,,254.0,251.0,241.0,232.0
AU531,Gastronomy Science and Food Innovation,Atlantic Technological University,7,Manufacturing and processing,,,300.0,232.0,282.0,247.0
AU532,"Tourism, Hospitality & Event Management - Common Entry",Atlantic Technological University,7,Personal services,,,,224.0,233.0,241.0
AU535,Construction Management,Atlantic Technological University,7,Architecture and construction,,,262.0,262.0,297.0,
AU536,Quantity Surveying and Construction Economics,Atlantic Technological University,7,Architecture and construction,,,250.0,251.0,,
AU537,Architectural Technology,Atlantic Technological University,7,Architecture and construction,,,268.0,255.0,254.0,302.0
AU538,Civil Engineering,Atlantic Technological University,7,Architecture and construction,,,300.0,302.0,300.0,
AU542,Software and Electronic Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,239.0,250.0,262.0,251.0
AU545,Mechanical Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,301.0,303.0,283.0,372.0
AU547,Biomedical Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,308.0,300.0,308.0,374.0
AU549,Engineering - Common Entry,Atlantic Technological University,7,Engineering and engineering trades,,,347.0,317.0,300.0,371.0
AU555,Applied Freshwater and Marine Biology,Atlantic Technological University,7,Biological and related sciences,,,305.0,300.0,302.0,304.0
AU556,Science - undenominated,Atlantic Technological University,7,Biological and related sciences,,,283.0,280.0,289.0,282.0
AU557,Agriculture and Environmental Management,Atlantic Technological University,7,Agriculture,,,270.0,269.0,261.0,261.0
AU568,Chemical and Pharmaceutical Science,Atlantic Technological University,7,Environment,,,,306.0,281.0,
AU569,Applied Biology and Biopharmaceutical Science,Atlantic Technological University,7,Biological and related sciences,,,307.0,282.0,295.0,290.0
AU576,Computing in Software Development,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,271.0,263.0,252.0,241.0
AU577,Computing and Digital Media,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,259.0,254.0,251.0,243.0
AU583,"Furniture Design, Making and Technology - Common Entry",Atlantic Technological University,7,Arts,,,336.0,320.0,351.0,337.0
AU590,Outdoor Education and Leisure,Atlantic Technological University,7,Personal services,,,195.0,244.0,220.0,208.0
AU593,Applied Social Care,Atlantic Technological University,7,Welfare,,,251.0,251.0,231.0,260.0
AU600,Accounting,Atlantic Technological University,8,Business and administration,,,311.0,310.0,325.0,307.0
AU601,Business,Atlantic Technological University,8,Business and administration,,,280.0,280.0,280.0,280.0
AU602,Business Information Systems,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,307.0,307.0,320.0,297.0
AU603,Marketing and Sales,Atlantic Technological University,8,Business and administration,,,300.0,308.0,300.0,307.0
AU604,Finance and Economics,Atlantic Technological University,8,Business and administration,,,319.0,310.0,307.0,306.0
AU605,Business with Entrepreneurship,Atlantic Technological University,8,Business and administration,,,281.0,303.0,300.0,300.0
AU606,Agri-Business Management,Atlantic Technological University,8,Agriculture,,,300.0,284.0,300.0,308.0
AU607,Digital Accounting,Atlantic Technological University,8,Business and administration,,,301.0,348.0,349.0,323.0
AU615,Film and Documentary,Atlantic Technological University,8,Arts,,,311.0,321.0,302.0,308.0
AU616,"Communications, Media and Storytelling",Atlantic Technological University,8,Arts,,,308.0,303.0,301.0,316.0
AU617,Animation and Game Design,Atlantic Technological University,8,Arts,,,400.0,401.0,400.0,367.0
AU618,Art (portfolio),Atlantic Technological University,8,Arts,,,552.0,838.0,926.0,489.0
AU620,Education (Art and Design and Communication Graphics),Atlantic Technological University,8,Education,,,400.0,410.0,400.0,400.0
AU621,Textile and Fashion Design,Atlantic Technological University,8,Arts,,,,326.0,317.0,315.0
AU622,Interior Design,Atlantic Technological University,8,Arts,,,,318.0,311.0,313.0
AU623,Graphic Design and Illustration,Atlantic Technological University,8,Arts,,,,318.0,316.0,308.0
AU624,Product Design,Atlantic Technological University,8,Arts,,,,310.0,309.0,300.0
AU625,Heritage,Atlantic Technological University,8,Social and behavioural sciences,,,320.0,337.0,340.0,327.0
AU628,International Tourism Management,Atlantic Technological University,8,Personal services,,,287.0,281.0,316.0,318.0
AU629,Event Management with Public Relations,Atlantic Technological University,8,Personal services,,,263.0,280.0,288.0,307.0
AU630,International Hotel and Hospitality Management,Atlantic Technological University,8,Personal services,,,274.0,288.0,300.0,300.0
AU631,Gastronomy Science and Food Innovation,Atlantic Technological University,8,Manufacturing and processing,,,271.0,281.0,300.0,282.0
AU635,Construction Management,Atlantic Technological University,8,Architecture and construction,,,330.0,332.0,351.0,387.0
AU636,Quantity Surveying and Construction Economics,Atlantic Technological University,8,Architecture and construction,,,348.0,351.0,350.0,390.0
AU637,Architectural Technology,Atlantic Technological University,8,Architecture and construction,,,332.0,327.0,339.0,372.0
AU638,Civil Engineering,Atlantic Technological University,8,Architecture and construction,,,400.0,410.0,440.0,451.0
AU642,Software and Electronic Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,307.0,309.0,300.0,300.0
AU645,Mechanical Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,431.0,430.0,441.0,462.0
AU646,Energy Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,337.0,328.0,320.0,360.0
AU647,Biomedical Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,380.0,392.0,420.0,440.0
AU648,Agricultural Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,327.0,334.0,326.0,371.0
AU649,Engineering - Common Entry,Atlantic Technological University,8,Engineering and engineering trades,,,465.0,462.0,465.0,487.0
AU650,Manufacturing Engineering Design,Atlantic Technological University,8,Manufacturing and processing,,,302.0,319.0,327.0,313.0
AU655,Applied Freshwater and Marine Biology,Atlantic Technological University,8,Biological and related sciences,,,401.0,400.0,400.0,410.0
AU656,Science - undenominated,Atlantic Technological University,8,Biological and related sciences,,,400.0,350.0,376.0,370.0
AU657,Agriculture and Environmental Management,Atlantic Technological University,8,Agriculture,,,320.0,311.0,310.0,320.0
AU662,Sport and Exercise Science,Atlantic Technological University,8,Personal services,,,360.0,356.0,400.0,420.0
AU663,Public Health Nutrition,Atlantic Technological University,8,Biological and related sciences,,,366.0,357.0,340.0,357.0
AU664,Sports Coaching,Atlantic Technological University,8,Education,,,320.0,318.0,307.0,310.0
AU668,Chemical and Pharmaceutical Science,Atlantic Technological University,8,Environment,,,362.0,361.0,409.0,384.0
AU669,Forensic Science and Analysis,Atlantic Technological University,8,Physical sciences,,,400.0,380.0,419.0,401.0
AU670,Applied Biology and Biopharmaceutical Science,Atlantic Technological University,8,Biological and related sciences,,,400.0,378.0,402.0,400.0
AU671,Medical Science,Atlantic Technological University,8,Health,,,506.0,490.0,485.0,499.0
AU675,Physics and Instrumentation,Atlantic Technological University,8,Physical sciences,,,312.0,317.0,333.0,327.0
AU676,Computing in Software Development,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,362.0,341.0,321.0,300.0
AU677,Computing and Digital Media,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,302.0,300.0,327.0,318.0
AU680,"Education (Design, Graphics and Construction)",Atlantic Technological University,8,Education,,,400.0,400.0,410.0,401.0
AU681,Furniture Design and Manufacture,Atlantic Technological University,8,Arts,,,400.0,400.0,409.0,400.0
AU682,Furniture Making and Architectural Woodworking,Atlantic Technological University,8,Arts,,,382.0,403.0,401.0,398.0
AU683,Furniture Design Making and Technology - Common Entry,Atlantic Technological University,8,Arts,,,388.0,409.0,403.0,399.0
AU690,General Nursing,Atlantic Technological University,8,Health,,,350.0,342.0,349.0,362.0
AU691,Mental Health Nursing,Atlantic Technological University,8,Health,,,261.0,273.0,271.0,270.0
AU693,Geography and Outdoor Education,Atlantic Technological University,8,Humanities (except languages),,,290.0,352.0,307.0,318.0
AU694,History and Geography,Atlantic Technological University,8,Humanities (except languages),,,280.0,280.0,317.0,306.0
AU695,Early Childhood Education and Care,Atlantic Technological University,8,Education,,,280.0,308.0,303.0,306.0
AU696,Applied Social Care,Atlantic Technological University,8,Welfare,,,307.0,309.0,310.0,300.0
AU698,Psychology,Atlantic Technological University,8,Social and behavioural sciences,,,357.0,358.0,352.0,356.0
AU699,Outdoor and Environmental Education - Common Entry,Atlantic Technological University,8,Personal services,,,,330.0,367.0,357.0
AU725,Computing,Atlantic Technological University,6,Information and Communication Technologies (ICTs),,,199.0,174.0,186.0,180.0
AU730,Science,Atlantic Technological University,6,Biological and related sciences,,,206.0,168.0,161.0,199.0
AU800,Business,Atlantic Technological University,7,Business and administration,,,224.0,224.0,179.0,188.0
AU802,Marketing,Atlantic Technological University,7,Business and administration,,,262.0,253.0,232.0,224.0
AU803,International Tourism and Event Management,Atlantic Technological University,7,Personal services,,,200.0,225.0,226.0,235.0
AU804,Applied Sport with Business,Atlantic Technological University,7,Personal services,,,225.0,242.0,223.0,221.0
AU820,Interior Architecture and Design,Atlantic Technological University,7,Architecture and construction,,,273.0,270.0,271.0,270.0
AU821,Creative Design,Atlantic Technological University,7,Arts,,,264.0,231.0,225.0,172.0
AU822,Fine Art (portfolio),Atlantic Technological University,7,Arts,,,340.0,371.0,256.0,306.0
AU823,Performing Arts,Atlantic Technological University,7,Arts,,,253.0,229.0,233.0,260.0
AU830,Engineering - Common  Entry,Atlantic Technological University,7,Engineering and engineering trades,,,290.0,270.0,270.0,280.0
AU831,Mechatronic Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,307.0,252.0,309.0,280.0
AU833,Mechanical Engineering,Atlantic Technological University,7,Engineering and engineering trades,,,241.0,260.0,271.0,289.0
AU835,Civil Engineering,Atlantic Technological University,7,Architecture and construction,,,262.0,289.0,291.0,280.0
AU836,Quantity Surveying,Atlantic Technological University,7,Architecture and construction,,,221.0,224.0,260.0,250.0
AU837,Advanced Wood and Sustainable Building Technology,Atlantic Technological University,7,Architecture and construction,,,217.0,225.0,235.0,245.0
AU845,Computing - Common Entry,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,269.0,,249.0,249.0
AU846,Computer Networks and Cyber Security,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,223.0,253.0,241.0,
AU847,Software Development,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,260.0,264.0,223.0,
AU848,Games Development,Atlantic Technological University,7,Information and Communication Technologies (ICTs),,,232.0,257.0,260.0,241.0
AU855,Environmental Science with Ecology,Atlantic Technological University,7,Environment,,,288.0,280.0,242.0,260.0
AU856,Occupational Safety and Health,Atlantic Technological University,7,Hygiene and occupational health services,,,281.0,246.0,242.0,261.0
AU857,Pharmaceutical Science with Drug Development,Atlantic Technological University,7,Physical sciences,,,,241.0,263.0,260.0
AU858,Biomedical Science,Atlantic Technological University,7,Health,,,250.0,262.0,243.0,260.0
AU859,Forensic Investigation and Analysis,Atlantic Technological University,7,Biological and related sciences,,,260.0,260.0,244.0,261.0
AU861,Health Science and Physiology,Atlantic Technological University,7,Health,,,283.0,273.0,271.0,311.0
AU862,Human Nutrition,Atlantic Technological University,7,Health,,,280.0,281.0,261.0,260.0
AU900,Business,Atlantic Technological University,8,Business and administration,,,287.0,280.0,281.0,285.0
AU901,Business and ICT,Atlantic Technological University,8,Business and administration,,,317.0,317.0,326.0,307.0
AU902,Accounting,Atlantic Technological University,8,Business and administration,,,312.0,316.0,320.0,316.0
AU903,Sport with Business,Atlantic Technological University,8,Personal services,,,300.0,310.0,307.0,307.0
AU904,Marketing,Atlantic Technological University,8,Business and administration,,,327.0,305.0,300.0,307.0
AU905,Tourism and Event Management,Atlantic Technological University,8,Personal services,,,309.0,284.0,288.0,300.0
AU906,Business and Irish,Atlantic Technological University,8,Languages,,,307.0,339.0,386.0,
AU915,Law and Business,Atlantic Technological University,8,Law,,,337.0,300.0,316.0,307.0
AU916,Sociology and Politics,Atlantic Technological University,8,Social and behavioural sciences,,,319.0,328.0,326.0,306.0
AU917,English and Psychology,Atlantic Technological University,8,Social and behavioural sciences,,,358.0,357.0,351.0,351.0
AU918,Social Care Practice,Atlantic Technological University,8,Welfare,,,300.0,300.0,303.0,300.0
AU919,Early Education and Care,Atlantic Technological University,8,Welfare,,,283.0,290.0,301.0,304.0
AU925,Architecture,Atlantic Technological University,8,Architecture and construction,,,430.0,440.0,420.0,410.0
AU926,Interior Architecture and Design,Atlantic Technological University,8,Architecture and construction,,,416.0,401.0,400.0,400.0
AU927,Creative Design,Atlantic Technological University,8,Arts,,,323.0,312.0,305.0,300.0
AU928,Fine Art (portfolio),Atlantic Technological University,8,Arts,,,362.0,371.0,378.0,357.0
AU929,Writing and Literature,Atlantic Technological University,8,Languages,,,327.0,306.0,317.0,306.0
AU930,Writing and Literature (online),Atlantic Technological University,8,Languages,,,336.0,305.0,337.0,326.0
AU931,Performing Arts,Atlantic Technological University,8,Arts,,,321.0,309.0,309.0,327.0
AU940,Engineering - Common  Entry,Atlantic Technological University,8,Engineering and engineering trades,,,371.0,413.0,401.0,401.0
AU943,Mechanical Engineering,Atlantic Technological University,8,Engineering and engineering trades,,,322.0,413.0,409.0,356.0
AU944,Civil Engineering,Atlantic Technological University,8,Architecture and construction,,,361.0,418.0,424.0,444.0
AU945,Quantity Surveying,Atlantic Technological University,8,Architecture and construction,,,321.0,346.0,344.0,353.0
AU946,Construction Project Management and Applied Technology,Atlantic Technological University,8,Architecture and construction,,,304.0,301.0,300.0,300.0
AU955,Computing - Common Entry,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,308.0,307.0,308.0,304.0
AU956,Computer Networks and Cyber Security,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,300.0,308.0,300.0,300.0
AU957,Software Development,Atlantic Technological University,8,Information and Communication Technologies (ICTs),,,300.0,321.0,322.0,329.0
AU965,Science - Common Entry,Atlantic Technological University,8,Biological and related sciences,,,346.0,402.0,357.0,367.0
AU966,Environmental Science with Ecology,Atlantic Technological University,8,Environment,,,340.0,339.0,307.0,322.0
AU967,Occupational Safety and Health,Atlantic Technological University,8,Hygiene and occupational health services,,,351.0,310.0,300.0,316.0
AU968,Pharmaceutical Science with Drug Development,Atlantic Technological University,8,Physical sciences,,,300.0,300.0,319.0,
AU969,Biomedical Science,Atlantic Technological University,8,Health,,,358.0,351.0,336.0,341.0
AU970,Forensic Investigation and Analysis,Atlantic Technological University,8,Biological and related sciences,,,340.0,317.0,320.0,311.0
AU971,Health Science and Physical Activity,Atlantic Technological University,8,Health,,,327.0,321.0,338.0,361.0
AU972,Human Nutrition,Atlantic Technological University,8,Health,,,377.0,341.0,349.0,356.0
AU973,Clinical Measurement Physiology,Atlantic Technological University,8,Health,,,453.0,465.0,462.0,498.0
AU975,Pharmacy,Atlantic Technological University,8,Health,,,,,,544.0
AU985,"Education, Home Economics and Biology - with concurrent Teacher Education",Atlantic Technological University,8,Education,,,520.0,510.0,453.0,465.0
AU986,"Education, Home Economics and Religious Ed - with concurrent Teacher Education",Atlantic Technological University,8,Education,,,462.0,424.0,400.0,400.0
AU987,"Education, Home Economics and Irish - with concurrent Teacher Education",Atlantic Technological University,8,Education,,,442.0,429.0,398.0,400.0
AU988,"Education, Home Economics - with concurrent Teacher Education",Atlantic Technological University,8,Education,,,507.0,475.0,408.0,414.0
AU989,"Nutrition, Food and Business Management",Atlantic Technological University,8,Business and administration,,,289.0,300.0,337.0,336.0
AU990,Home Economics,Atlantic Technological University,8,Biological and related sciences,,,388.0,350.0,301.0,318.0
AU991,General Nursing,Atlantic Technological University,8,Health,,,359.0,346.0,369.0,382.0
AU992,Intellectual Disability Nursing,Atlantic Technological University,8,Health,,,278.0,282.0,270.0,280.0
BY001,Business,IBAT College Dublin,8,Business and administration,210.0,236.0,234.0,290.0,253.0,233.0
BY002,Business,IBAT College Dublin,7,Business and administration,347.0,154.0,172.0,126.0,145.0,145.0
CK101,Arts - 3 years,University College Cork (NUI),8,Arts,300.0,300.0,300.0,300.0,300.0,300.0
CK102,Social Science - 3 years or 4 years (International Pathway),University College Cork (NUI),8,Social and behavioural sciences,434.0,441.0,445.0,369.0,400.0,429.0
CK104,"Arts - Music - 3 years or 4 years  (BMus or Chinese/European/International Pathway,interview,audition)",University College Cork (NUI),8,Arts,339.0,367.0,310.0,317.0,338.0,367.0
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),8,Arts,421.0,414.0,420.0,378.0,390.0,382.0
CK108,Arts International - 4 years,University College Cork (NUI),8,Languages,440.0,452.0,400.0,400.0,401.0,390.0
CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),8,Languages,367.0,402.0,379.0,368.0,366.0,353.0
CK110,World Languages,University College Cork (NUI),8,Languages,488.0,484.0,409.0,404.0,403.0,404.0
CK111,Early Years and Childhood Studies,University College Cork (NUI),8,Welfare,409.0,415.0,347.0,342.0,368.0,387.0
CK112,"Theatre and Performative Practices - 3 years or 4 years (International Pathway,audition)",University College Cork (NUI),8,Arts,371.0,370.0,341.0,365.0,384.0,363.0
CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),8,Social and behavioural sciences,464.0,462.0,431.0,405.0,419.0,418.0
CK114,"Social Science (Youth and Community Work,interview)",University College Cork (NUI),8,Welfare,,,,409.0,317.0,300.0
CK118,Digital Humanities and Information Technology - 3 years or 4 years (Work Experience or International Pathway),University College Cork (NUI),8,Arts,347.0,334.0,328.0,356.0,300.0,328.0
CK120,Applied Psychology,University College Cork (NUI),8,Social and behavioural sciences,544.0,566.0,554.0,532.0,536.0,543.0
CK121,Psychology and Computing - 3 years or 4 years (Work Experience Pathway),University College Cork (NUI),8,Social and behavioural sciences,499.0,478.0,488.0,498.0,409.0,474.0
CK122,Government and Political Science,University College Cork (NUI),8,Social and behavioural sciences,399.0,423.0,353.0,323.0,411.0,426.0
CK123,Anthropology - 3 years or 4 years (International Pathway),University College Cork (NUI),8,Humanities (except languages),308.0,318.0,304.0,307.0,301.0,320.0
CK124,Education - Gaeilge,University College Cork (NUI),8,Education,473.0,408.0,424.0,408.0,398.0,462.0
CK125,"Physical Education, Sports Studies and Arts",University College Cork (NUI),8,Education,564.0,532.0,535.0,521.0,521.0,532.0
CK201,Commerce,University College Cork (NUI),8,Business and administration,500.0,508.0,499.0,509.0,511.0,510.0
CK202,Accounting,University College Cork (NUI),8,Business and administration,553.0,507.0,492.0,498.0,510.0,520.0
CK203,Business Information Systems,University College Cork (NUI),8,Information and Communication Technologies (ICTs),455.0,458.0,434.0,443.0,463.0,462.0
CK204,Finance,University College Cork (NUI),8,Business and administration,566.0,577.0,565.0,578.0,578.0,577.0
CK212,Applied Economics,University College Cork (NUI),8,Social and behavioural sciences,445.0,466.0,431.0,466.0,498.0,489.0
CK213,Food Marketing and Entrepreneurship,University College Cork (NUI),8,Business and administration,466.0,434.0,452.0,463.0,466.0,445.0
CK215,International Business with Languages,University College Cork (NUI),8,Business and administration,,467.0,422.0,456.0,463.0,445.0
CK301,Law (Pathways) - 3 years or 4 years,University College Cork (NUI),8,Law,533.0,539.0,525.0,530.0,532.0,534.0
CK302,Law and French,University College Cork (NUI),8,Law,545.0,556.0,518.0,510.0,532.0,532.0
CK304,Law and Irish,University College Cork (NUI),8,Law,588.0,552.0,545.0,522.0,542.0,545.0
CK307,Law and Business,University College Cork (NUI),8,Law,589.0,590.0,567.0,578.0,566.0,565.0
CK401,Computer Science,University College Cork (NUI),8,Information and Communication Technologies (ICTs),503.0,509.0,510.0,500.0,456.0,384.0
CK402,Biological and Chemical Sciences,University College Cork (NUI),8,Biological and related sciences,555.0,553.0,533.0,533.0,532.0,531.0
CK404,"Biological, Environmental and Geological Sciences",University College Cork (NUI),8,Biological and related sciences,500.0,498.0,494.0,489.0,495.0,462.0
